id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
67,Decomposição numérica - até 100,Matemática,2,1,50,Unidade e dezena,Matemática,1,1
68,Valor absoluto e relativo,Matemática,3,1,20246,O milhar,Matemática,3,1
68,Valor absoluto e relativo,Matemática,3,1,52,Números por extenso e comparações,Matemática,3,1
68,Valor absoluto e relativo,Matemática,3,1,10027,Sistema de numeração decimal,Matemática,2,1
68,Valor absoluto e relativo,Matemática,3,1,67,Decomposição numérica - até 100,Matemática,2,1
71,Adição por reagrupamento,Matemática,3,1,68,Valor absoluto e relativo,Matemática,3,1
71,Adição por reagrupamento,Matemática,3,1,20138,Material Dourado: Adição e Subtração,Matemática,2,1
71,Adição por reagrupamento,Matemática,3,1,53,Adição,Matemática,2,1
72,Sinais matemáticos,Matemática,3,1,20246,O milhar,Matemática,3,1
73,Cálculo mental,Matemática,4,0,20095,Multiplicação com dois algarismos,Matemática,4,1
73,Cálculo mental,Matemática,4,0,20181,"Multiplicação por 10, 100 e 1.000",Matemática,4,1
73,Cálculo mental,Matemática,4,0,24,Multiplicação,Matemática,3,1
76,Representação decimal de números fracionários.,Matemática,5,1,28,Fração de uma quantidade,Matemática,5,1
76,Representação decimal de números fracionários.,Matemática,5,1,20367,Representação fracionária dos números racionais,Matemática,5,1
79,"Acentuação: agudo,circunflexo e til",L. Portuguesa,4,1,55,Acentuação: agudo e circunflexo,L. Portuguesa,3,1
79,"Acentuação: agudo,circunflexo e til",L. Portuguesa,4,1,31,Sílabas tônica e átona,L. Portuguesa,3,1
82,Sons do X,L. Portuguesa,5,1,10092,Fonema e letra,L. Portuguesa,5,0
88,Sistema monetário,Matemática,1,1,20,Números no cotidiano,Matemática,1,1
90,Bullying,L. Portuguesa,1,1,91,Sentimentos e Sensações,L. Portuguesa,1,1
91,Sentimentos e Sensações,L. Portuguesa,1,1,98,Palavrinhas mágicas,L. Portuguesa,1,1
96,Etapas da Vida,L. Portuguesa,1,1,86,Identidade,L. Portuguesa,1,1
